Measurement,Mic,LAeq_dBA,LCeq_dBC,LZeq_dB,Group
DENiendeFredag10042026kl1300-1318MegetFaaMennesker_,1,64.0912609900724,66.9321197814701,67.3577819764897,NonBackground
DENiendeFredag10042026kl1300-1318MegetFaaMennesker_,2,63.2217956402647,66.3351604185308,66.6548586473349,NonBackground
DENiendeFredag10042026kl1300-1318MegetFaaMennesker_,3,57.2067152419096,60.6730373889761,63.7005668546754,NonBackground
DENiendeFredag10042026kl1300-1318MegetFaaMennesker_,4,61.0535344866407,63.7682200788104,64.7124826114286,NonBackground
DENiendeFredag10042026kl1300-1318MegetFaaMennesker_,5,62.1862509931772,64.9157580091602,65.4069457090197,NonBackground
DENiendeFredag10042026kl1300-1318MegetFaaMennesker_,6,58.9734108620666,61.8638621986504,62.7030957606978,NonBackground
DENiendeFredag10042026kl1300-1318MegetFaaMennesker_,7,59.5696759528225,62.397998209601,63.6234165670225,NonBackground
DENiendeFredag10042026kl1300-1318MegetFaaMennesker_,8,59.5427109990493,62.5332331279544,63.9522326195783,NonBackground
DENiendeFredag10042026kl1330-1342StadigFaaMennesker_,1,67.4464233735705,69.6249105748082,69.9099564309855,NonBackground
DENiendeFredag10042026kl1330-1342StadigFaaMennesker_,2,72.0006189187275,74.4734034601703,74.5440160637652,NonBackground
DENiendeFredag10042026kl1330-1342StadigFaaMennesker_,3,67.9782878364897,70.1910721437379,70.5123553334163,NonBackground
DENiendeFredag10042026kl1330-1342StadigFaaMennesker_,4,66.6978319143716,69.0037428572726,69.2871456482262,NonBackground
DENiendeFredag10042026kl1330-1342StadigFaaMennesker_,5,68.3616038880366,70.8771709974414,71.0726668581729,NonBackground
DENiendeFredag10042026kl1330-1342StadigFaaMennesker_,6,64.722664914715,66.9683837736278,67.2221974223468,NonBackground
DENiendeFredag10042026kl1330-1342StadigFaaMennesker_,7,64.9747357623356,67.200992655453,67.5710518120106,NonBackground
DENiendeFredag10042026kl1330-1342StadigFaaMennesker_,8,64.5195510793416,66.7964316642892,67.2268466453821,NonBackground
DENiendeFredag10042026kl1404-1414LidtFlereMennesker_,1,69.3188965786434,71.6426430514727,71.8393904120382,NonBackground
DENiendeFredag10042026kl1404-1414LidtFlereMennesker_,2,70.6944166457234,73.2769991422332,73.3712629134595,NonBackground
DENiendeFredag10042026kl1404-1414LidtFlereMennesker_,3,68.7186621190233,71.2877066046866,71.7287840231411,NonBackground
DENiendeFredag10042026kl1404-1414LidtFlereMennesker_,4,63.8787140401279,66.3751286786679,66.8984026872927,NonBackground
DENiendeFredag10042026kl1404-1414LidtFlereMennesker_,5,65.9366515464227,68.6806992528457,68.8538282142311,NonBackground
DENiendeFredag10042026kl1404-1414LidtFlereMennesker_,6,66.7587036657697,69.3439056297491,69.5299298026146,NonBackground
DENiendeFredag10042026kl1404-1414LidtFlereMennesker_,7,68.8584518211903,71.2574470646786,71.4893993787607,NonBackground
DENiendeFredag10042026kl1404-1414LidtFlereMennesker_,8,68.0769443491742,70.5716820911776,70.8570699017971,NonBackground
DENiendeFredag10042026kl1433-145020Mennesker_,1,72.7013709401126,74.4200661463594,74.5952797826704,NonBackground
DENiendeFredag10042026kl1433-145020Mennesker_,2,71.3550323146123,73.4428072735305,73.555425794632,NonBackground
DENiendeFredag10042026kl1433-145020Mennesker_,3,73.5858540767805,74.9879057948495,75.1830068664889,NonBackground
DENiendeFredag10042026kl1433-145020Mennesker_,4,68.239111596483,69.9336023712164,70.1639677646494,NonBackground
DENiendeFredag10042026kl1433-145020Mennesker_,5,70.0700725880059,71.969762184331,72.0883742320759,NonBackground
DENiendeFredag10042026kl1433-145020Mennesker_,6,72.8976686878852,74.7101340650922,74.862014834334,NonBackground
DENiendeFredag10042026kl1433-145020Mennesker_,7,72.6332095556712,74.2975655486573,74.4518813851849,NonBackground
DENiendeFredag10042026kl1433-145020Mennesker_,8,73.0992000618664,74.8657731906689,75.0028737037934,NonBackground
backgroundMeasurement10042026_,1,53.6740446585882,58.2383091613927,59.3776552546794,Background
backgroundMeasurement10042026_,2,54.2166872667422,58.7613886924428,59.6443210497872,Background
backgroundMeasurement10042026_,3,47.8120499214304,56.0191009264662,60.3668462983044,Background
backgroundMeasurement10042026_,4,50.3867394850704,56.162829220278,58.5243340574056,Background
backgroundMeasurement10042026_,5,52.1966553822376,57.6092326991308,58.6414893510564,Background
backgroundMeasurement10042026_,6,51.4120862995713,56.8114114622548,58.4909504741572,Background
backgroundMeasurement10042026_,7,53.4090868695911,58.2342824287152,59.9544722946989,Background
backgroundMeasurement10042026_,8,53.6933893889946,59.0651419438505,60.8769194139145,Background
